# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Mar  5 18:00:22 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00012351 -2.10000 9.70000 0.7708645463 2.4080905889    0.771 -0.116  3.7981  4.585    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.58e-14      0.00 8.114e-01 1.885e-01 1.825e-05 5.001e-06 4.555e-05 -1.000 1.078e-04 5.059 5.613 5.459 5.211 5.047 4.912 4.613 4.579
0.00012351 -2.10000 9.70000 0.7875199914 2.4142802385    0.787 -0.059  3.8045  4.563    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -6.45e-14      0.00 8.132e-01 1.867e-01 1.823e-05 5.000e-06 4.556e-05 -1.000 1.046e-04 4.917 5.448 5.302 5.064 4.907 4.777 4.488 4.456
0.00012351 -2.10000 9.70000 0.8000000715 2.4187244613    0.800 -0.016  3.8092  4.546    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.21e-14      0.00 8.142e-01 1.857e-01 1.826e-05 5.009e-06 4.567e-05 -1.000 1.000e-04 4.810 5.325 5.184 4.953 4.802 4.675 4.393 4.363
0.00012351 -2.10000 9.70000 0.8052522540 2.4205474954    0.805  0.002  3.8112  4.539    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.55e-14      0.00 8.143e-01 1.856e-01 1.827e-05 5.012e-06 4.569e-05 -1.000 1.033e-04 4.765 5.273 5.135 4.907 4.757 4.632 4.354 4.324
0.00012351 -2.10000 9.70000 0.8211687207 2.4259086974    0.821  0.057  3.8173  4.517    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -8.69e-14      0.00 8.144e-01 1.854e-01 1.830e-05 5.021e-06 4.578e-05 -1.000 1.131e-04 4.629 5.116 4.984 4.765 4.621 4.500 4.231 4.203
0.00012351 -2.10000 9.70000 0.8355681896 2.4305570978    0.835  0.106  3.8227  4.496    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -9.9e-14      0.00 8.145e-01 1.854e-01 1.833e-05 5.031e-06 4.588e-05 -1.000 1.047e-04 4.504 4.973 4.846 4.635 4.496 4.379 4.119 4.092
0.00012351 -2.10000 9.70000 0.8493613601 2.4348402314    0.849  0.155  3.8278  4.475    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 8.144e-01 1.854e-01 1.837e-05 5.043e-06 4.600e-05 -1.000 1.304e-04 4.383 4.835 4.712 4.508 4.374 4.261 4.009 3.984
0.00012351 -2.10000 9.70000 0.8500000238 2.4350346840    0.849  0.157  3.8281  4.474    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-13      0.00 8.144e-01 1.855e-01 1.837e-05 5.043e-06 4.600e-05 -1.000 1.305e-04 4.377 4.828 4.706 4.502 4.369 4.255 4.004 3.979
0.00012351 -2.10000 9.70000 0.8506928086 2.4352452352    0.850  0.159  3.8283  4.473    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-13      0.00 8.144e-01 1.854e-01 1.837e-05 5.043e-06 4.600e-05 -1.000 1.302e-04 4.371 4.821 4.699 4.495 4.363 4.249 3.998 3.974
0.00012351 -2.10000 9.70000 0.8638256192 2.4391632102    0.863  0.206  3.8336  4.454    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-13      0.00 8.143e-01 1.856e-01 1.837e-05 5.044e-06 4.601e-05 -1.000 1.197e-04 4.255 4.687 4.569 4.372 4.245 4.135 3.893 3.870
